minIron;minCalcium;minSodium;minPotassium;minPhosphorus;minZinc;minThiamine;minRiboflavin;minNiacine;minVitC;minVitB6;minVitB9;minVitA;minVitE;minVitD;maxIron;maxCalcium;maxSodium;maxPotassium;maxPhosphorus;maxZinc;maxThiamine;maxRiboflavin;maxNiacine;maxVitC;maxVitB6;maxVitB9;maxVitA;maxVitE;maxVitD;idIron;idCalcium;idSodium;idPotassium;idPhosphorus;idZinc;idThiamine;idRiboflavin;idNiacine;idVitC;idVitB6;idVitB9;idVitA;idVitE;idVitD
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,1;3,9;580;9;1;1,3;14;75;1,4;320;500;13;10;ND;2000;1,5;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,1;3,9;700;11;1,2;1,6;18;105;1,7;400;700;13;15
7;800;1,1;3,9;580;9;1;1,3;14;75;1,4;320;500;13;10;ND;2000;1,5;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,1;3,9;700;11;1,2;1,6;18;105;1,7;400;700;13;15
7;800;1,1;3,9;580;9;1;1,3;14;75;1,4;320;500;13;10;ND;2000;1,5;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,1;3,9;700;11;1,2;1,6;18;105;1,7;400;700;13;15
7;800;1,1;3,9;580;9;1;1,3;14;75;1,4;320;500;13;10;ND;2000;1,5;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,1;3,9;700;11;1,2;1,6;18;105;1,7;400;700;13;15
7;800;1,1;3,9;580;9;1;1,3;14;75;1,4;320;500;13;10;ND;2000;1,5;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,1;3,9;700;11;1,2;1,6;18;105;1,7;400;700;13;15
7;800;1,1;3,9;580;9;1;1,3;14;75;1,4;320;500;13;10;ND;2000;1,5;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,1;3,9;700;11;1,2;1,6;18;105;1,7;400;700;13;15
7;800;1,1;3,9;580;9;1;1,3;14;75;1,4;320;500;13;10;ND;2000;1,5;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,1;3,9;700;11;1,2;1,6;18;105;1,7;400;700;13;15
7;800;1,1;3,9;580;9;1;1,3;14;75;1,4;320;500;13;10;ND;2000;1,5;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,1;3,9;700;11;1,2;1,6;18;105;1,7;400;700;13;15
7;800;1,1;3,9;580;9;1;1,3;14;75;1,4;320;500;13;10;ND;2000;1,5;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,1;3,9;700;11;1,2;1,6;18;105;1,7;400;700;13;15
7;800;1,1;3,9;580;9;1;1,3;14;75;1,4;320;500;13;10;ND;2000;1,5;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,1;3,9;700;11;1,2;1,6;18;105;1,7;400;700;13;15
